Name,Description,Likelihood Of Attack,Prerequisites,Skills Required,Consequences,Mitigations
XQuery Injection,"This attack utilizes XQuery to probe and attack server systems; in a similar manner that SQL Injection allows an attacker to exploit SQL calls to RDBMS, XQuery Injection uses improperly validated data that is passed to XQuery commands to traverse and execute commands that the XQuery routines have access to. XQuery injection can be used to enumerate elements on the victim's environment, inject commands to the local host, or execute queries to remote files and data sources.",High,The XQL must execute unvalidated data,SKILL:Basic understanding of XQuery:LEVEL:Low,SCOPE:Integrity:TECHNICAL IMPACT:Modify DataSCOPE:Confidentiality:TECHNICAL IMPACT:Read DataSCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain PrivilegesSCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized Commands:NOTE:Run Arbitrary Code,Design: Perform input allowlist validation on all XML inputImplementation: Run xml parsing and query infrastructure with minimal privileges so that an attacker is limited in their ability to probe other system resources from XQL.
AJAX Footprinting,"This attack utilizes the frequent client-server roundtrips in Ajax conversation to scan a system. While Ajax does not open up new vulnerabilities per se, it does optimize them from an attacker point of view. A common first step for an attacker is to footprint the target environment to understand what attacks will work. Since footprinting relies on enumeration, the conversational pattern of rapid, multiple requests and responses that are typical in Ajax applications enable an attacker to look for many vulnerabilities, well-known ports, network locations and so on. The knowledge gained through Ajax fingerprinting can be used to support other attacks, such as XSS.",High,The user must allow JavaScript to execute in their browser,SKILL:To land and launch a script on victim's machine with appropriate footprinting logic for enumerating services and vulnerabilities in JavaScript:LEVEL:Medium,SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data,Design: Use browser technologies that do not allow client side scripting.Implementation: Perform input validation for all remote content.
XSS Through HTTP Headers,"An adversary exploits web applications that generate web content, such as links in a HTML page, based on unvalidated or improperly validated data submitted by other actors. XSS in HTTP Headers attacks target the HTTP headers which are hidden from most users and may not be validated by web applications.",High,Target software must be a client that allows scripting communication from remote hosts.,"SKILL:To achieve a redirection and use of less trusted source, an adversary can simply edit HTTP Headers that are sent to client machine.:LEVEL:LowSKILL:Exploiting a client side vulnerability to inject malicious scripts into the browser's executable process.:LEVEL:High",SCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized Commands:NOTE:Run Arbitrary CodeSCOPE:Confidentiality:TECHNICAL IMPACT:Read DataSCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain Privileges,"Design: Use browser technologies that do not allow client side scripting.Design: Utilize strict type, character, and encoding enforcementDesign: Server side developers should not proxy content via XHR or other means, if a http proxy for remote content is setup on the server side, the client's browser has no way of discerning where the data is originating from.Implementation: Ensure all content that is delivered to client is sanitized against an acceptable content specification.Implementation: Perform input validation for all remote content.Implementation: Perform output validation for all remote content.Implementation: Disable scripting languages such as JavaScript in browserImplementation: Session tokens for specific hostImplementation: Patching software. There are many attack vectors for XSS on the client side and the server side. Many vulnerabilities are fixed in service packs for browser, web servers, and plug in technologies, staying current on patch release that deal with XSS countermeasures mitigates this."
Forceful Browsing,"An attacker employs forceful browsing (direct URL entry) to access portions of a website that are otherwise unreachable. Usually, a front controller or similar design pattern is employed to protect access to portions of a web application. Forceful browsing enables an attacker to access information, perform privileged operations and otherwise reach sections of the web application that have been improperly protected.",High,The forcibly browseable pages or accessible resources must be discoverable and improperly protected.,SKILL:Forcibly browseable pages can be discovered by using a number of automated tools. Doing the same manually is tedious but by no means difficult.:LEVEL:Low,SCOPE:Confidentiality:TECHNICAL IMPACT:Read DataSCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism,"Authenticate request to every resource. In addition, every page or resource must ensure that the request it is handling has been made in an authorized context.Forceful browsing can also be made difficult to a large extent by not hard-coding names of application pages or resources. This way, the attacker cannot figure out, from the application alone, the resources available from the present context."
OS Command Injection,"In this type of an attack, an adversary injects operating system commands into existing application functions. An application that uses untrusted input to build command strings is vulnerable. An adversary can leverage OS command injection in an application to elevate privileges, execute arbitrary commands and compromise the underlying operating system.",High,User controllable input used as part of commands to the underlying operating system.,"SKILL:The attacker needs to have knowledge of not only the application to exploit but also the exact nature of commands that pertain to the target operating system. This may involve, though not always, knowledge of specific assembly commands for the platform.:LEVEL:High",SCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized Commands:NOTE:Run Arbitrary CodeSCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain Privileges:TECHNICAL IMPACT:Bypass Protection MechanismSCOPE:Confidentiality:TECHNICAL IMPACT:Read Data,"Use language APIs rather than relying on passing data to the operating system shell or command line. Doing so ensures that the available protection mechanisms in the language are intact and applicable.Filter all incoming data to escape or remove characters or strings that can be potentially misinterpreted as operating system or shell commandsAll application processes should be run with the minimal privileges required. Also, processes must shed privileges as soon as they no longer require them."
Pharming,"A pharming attack occurs when the victim is fooled into entering sensitive data into supposedly trusted locations, such as an online bank site or a trading platform. An attacker can impersonate these supposedly trusted sites and have the victim be directed to their site rather than the originally intended one. Pharming does not require script injection or clicking on malicious links for the attack to succeed.",High,Vulnerable DNS software or improperly protected hosts file or router that can be poisonedA website that handles sensitive information but does not use a secure connection and a certificate that is valid is also prone to pharming,"SKILL:The attacker needs to be able to poison the resolver - DNS entries or local hosts file or router entry pointing to a trusted DNS server - in order to successfully carry out a pharming attack. Setting up a fake website, identical to the targeted one, does not require special skills.:LEVEL:Medium",SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data,"All sensitive information must be handled over a secure connection.Known vulnerabilities in DNS or router software or in operating systems must be patched as soon as a fix has been released and tested.End users must ensure that they provide sensitive information only to websites that they trust, over a secure connection with a valid certificate issued by a well-known certificate authority."
Buffer Overflow in Local Command-Line Utilities,This attack targets command-line utilities available in a number of shells. An adversary can leverage a vulnerability found in a command-line utility to escalate privilege to root.,High,The target host exposes a command-line utility to the user.The command-line utility exposed by the target host has a buffer overflow vulnerability that can be exploited.,SKILL:An adversary can simply overflow a buffer by inserting a long string into an adversary-modifiable injection vector. The result can be a DoS.:LEVEL:LowSKILL:Exploiting a buffer overflow to inject malicious code into the stack of a software system or even the heap can require a higher skill level.:LEVEL:High,SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain PrivilegesSCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized Commands:NOTE:Run Arbitrary CodeSCOPE:Integrity:TECHNICAL IMPACT:Modify DataSCOPE:Availability:TECHNICAL IMPACT:Unreliable ExecutionSCOPE:Confidentiality:TECHNICAL IMPACT:Read Data,"Carefully review the service's implementation before making it available to user. For instance you can use manual or automated code review to uncover vulnerabilities such as buffer overflow.Use a language or compiler that performs automatic bounds checking.Use an abstraction library to abstract away risky APIs. Not a complete solution.Compiler-based canary mechanisms such as StackGuard, ProPolice and the Microsoft Visual Studio /GS flag. Unless this provides automatic bounds checking, it is not a complete solution.Operational: Use OS-level preventative functionality. Not a complete solution.Apply the latest patches to your user exposed services. This may not be a complete solution, especially against a zero day attack.Do not unnecessarily expose services."
Reflection Attack in Authentication Protocol,"An adversary can abuse an authentication protocol susceptible to reflection attack in order to defeat it. Doing so allows the adversary illegitimate access to the target system, without possessing the requisite credentials. Reflection attacks are of great concern to authentication protocols that rely on a challenge-handshake or similar mechanism. An adversary can impersonate a legitimate user and can gain illegitimate access to the system by successfully mounting a reflection attack during authentication.",High,"The attacker must have direct access to the target server in order to successfully mount a reflection attack. An intermediate entity, such as a router or proxy, that handles these exchanges on behalf of the attacker inhibits the attackers' ability to attack the authentication protocol.",SKILL:The attacker needs to have knowledge of observing the protocol exchange and managing the required connections in order to issue and respond to challenges:LEVEL:Medium,SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain Privileges:TECHNICAL IMPACT:Bypass Protection MechanismSCOPE:Confidentiality:TECHNICAL IMPACT:Read Data,"The server must initiate the handshake by issuing the challenge. This ensures that the client has to respond before the exchange can move any furtherThe use of HMAC to hash the response from the server can also be used to thwart reflection. The server responds by returning its own challenge as well as hashing the client's challenge, its own challenge and the pre-shared secret. Requiring the client to respond with the HMAC of the two challenges ensures that only the possessor of a valid pre-shared secret can successfully hash in the two values.Introducing a random nonce with each new connection ensures that the attacker cannot employ two connections to attack the authentication protocol"
Forced Integer Overflow,"This attack forces an integer variable to go out of range. The integer variable is often used as an offset such as size of memory allocation or similarly. The attacker would typically control the value of such variable and try to get it out of range. For instance the integer in question is incremented past the maximum possible value, it may wrap to become a very small, or negative number, therefore providing a very incorrect value which can lead to unexpected behavior. At worst the attacker can execute arbitrary code.",High,"The attacker can manipulate the value of an integer variable utilized by the target host.The target host does not do proper range checking on the variable before utilizing it.When the integer variable is incremented or decremented to an out of range value, it gets a very different value (e.g. very small or negative number)",SKILL:An attacker can simply overflow an integer by inserting an out of range value.:LEVEL:LowSKILL:Exploiting a buffer overflow by injecting malicious code into the stack of a software system or even the heap can require a higher skill level.:LEVEL:High,SCOPE:Integrity:TECHNICAL IMPACT:Modify DataSCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain PrivilegesSCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized Commands:NOTE:Run Arbitrary CodeSCOPE:Confidentiality:TECHNICAL IMPACT:Read DataSCOPE:Availability:TECHNICAL IMPACT:Unreliable Execution,Use a language or compiler that performs automatic bounds checking.Carefully review the service's implementation before making it available to user. For instance you can use manual or automated code review to uncover vulnerabilities such as integer overflow.Use an abstraction library to abstract away risky APIs. Not a complete solution.Always do bound checking before consuming user input data.
Log Injection-Tampering-Forging,"This attack targets the log files of the target host. The attacker injects, manipulates or forges malicious log entries in the log file, allowing them to mislead a log audit, cover traces of attack, or perform other malicious actions. The target host is not properly controlling log access. As a result tainted data is resulting in the log files leading to a failure in accountability, non-repudiation and incident forensics capability.",High,The target host is logging the action and data of the user.The target host insufficiently protects access to the logs or logging mechanisms.,SKILL:This attack can be as simple as adding extra characters to the logged data (e.g. username). Adding entries is typically easier than removing entries.:LEVEL:LowSKILL:A more sophisticated attack can try to defeat the input validation mechanism.:LEVEL:Medium,SCOPE:Integrity:TECHNICAL IMPACT:Modify Data,"Carefully control access to physical log files.Do not allow tainted data to be written in the log file without prior input validation. An allowlist may be used to properly validate the data.Use synchronization to control the flow of execution.Use static analysis tools to identify log forging vulnerabilities.Avoid viewing logs with tools that may interpret control characters in the file, such as command-line shells."
Adversary in the Middle (AiTM),"An adversary targets the communication between two components (typically client and server), in order to alter or obtain data from transactions. A general approach entails the adversary placing themself within the communication channel between the two components.",High,There are two components communicating with each other.An attacker is able to identify the nature and mechanism of communication between the two target components.An attacker can eavesdrop on the communication between the target components.Strong mutual authentication is not used between the two target components yielding opportunity for attacker interposition.The communication occurs in clear (not encrypted) or with insufficient and spoofable encryption.,SKILL:This attack can get sophisticated since the attack may use cryptography.:LEVEL:Medium,SCOPE:Integrity:TECHNICAL IMPACT:Modify DataSCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain PrivilegesSCOPE:Confidentiality:TECHNICAL IMPACT:Read Data,"Ensure Public Keys are signed by a Certificate AuthorityEncrypt communications using cryptography (e.g., SSL/TLS)Use Strong mutual authentication to always fully authenticate both ends of any communications channel.Exchange public keys using a secure channel"
WSDL Scanning,"This attack targets the WSDL interface made available by a web service. The attacker may scan the WSDL interface to reveal sensitive information about invocation patterns, underlying technology implementations and associated vulnerabilities. This type of probing is carried out to perform more serious attacks (e.g. parameter tampering, malicious content injection, command injection, etc.). WSDL files provide detailed information about the services ports and bindings available to consumers. For instance, the attacker can submit special characters or malicious content to the Web service and can cause a denial of service condition or illegal access to database records. In addition, the attacker may try to guess other private methods by using the information provided in the WSDL files.",High,A client program connecting to a web service can read the WSDL to determine what functions are available on the server.The target host exposes vulnerable functions within its WSDL interface.,"SKILL:This attack can be as simple as reading WSDL and starting sending invalid request.:LEVEL:LowSKILL:This attack can be used to perform more sophisticated attacks (SQL injection, etc.):LEVEL:Medium",SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data,It is important to protect WSDL file or provide limited access to it.Review the functions exposed by the WSDL interface (especially if you have used a tool to generate it). Make sure that none of them is vulnerable to injection.Ensure the WSDL does not expose functions and APIs that were not intended to be exposed.Pay attention to the function naming convention (within the WSDL interface). Easy to guess function name may be an entry point for attack.Validate the received messages against the WSDL Schema. Incomplete solution.
Block Access to Libraries,"An application typically makes calls to functions that are a part of libraries external to the application. These libraries may be part of the operating system or they may be third party libraries. It is possible that the application does not handle situations properly where access to these libraries has been blocked. Depending on the error handling within the application, blocked access to libraries may leave the system in an insecure state that could be leveraged by an attacker.",Medium,An application requires access to external libraries.An attacker has the privileges to block application access to external libraries.,"SKILL:Knowledge of how to block access to libraries, as well as knowledge of how to leverage the resulting state of the application based on the failed call.:LEVEL:Low",SCOPE:Availability:TECHNICAL IMPACT:Alter Execution LogicSCOPE:Confidentiality:TECHNICAL IMPACT:OtherSCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism,Ensure that application handles situations where access to APIs in external libraries is not available securely. If the application cannot continue its execution safely it should fail in a consistent and secure fashion.
Cryptanalysis,"Cryptanalysis is a process of finding weaknesses in cryptographic algorithms and using these weaknesses to decipher the ciphertext without knowing the secret key (instance deduction). Sometimes the weakness is not in the cryptographic algorithm itself, but rather in how it is applied that makes cryptanalysis successful. An attacker may have other goals as well, such as: Total Break (finding the secret key), Global Deduction (finding a functionally equivalent algorithm for encryption and decryption that does not require knowledge of the secret key), Information Deduction (gaining some information about plaintexts or ciphertexts that was not previously known) and Distinguishing Algorithm (the attacker has the ability to distinguish the output of the encryption (ciphertext) from a random permutation of bits).",Low,The target software utilizes some sort of cryptographic algorithm.An underlying weaknesses exists either in the cryptographic algorithm used or in the way that it was applied to a particular chunk of plaintext.The encryption algorithm is known to the attacker.An attacker has access to the ciphertext.,SKILL:Cryptanalysis generally requires a very significant level of understanding of mathematics and computation.:LEVEL:High,"SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data:NOTE:In most cases, if cryptanalysis is successful at all, an adversary will not be able to decrypt the entire message, but instead will only be able to deduce some information about the plaintext. However, that may be sufficient for an adversary, depending on the context of the attack.",Use proven cryptographic algorithms with recommended key sizes.Ensure that the algorithms are used properly. That means: 1. Not rolling out your own crypto; Use proven algorithms and implementations. 2. Choosing initialization vectors with sufficiently random numbers 3. Generating key material using good sources of randomness and avoiding known weak keys 4. Using proven protocols and their implementations. 5. Picking the most appropriate cryptographic algorithm for your usage context and data
Phishing,Phishing is a social engineering technique where an attacker masquerades as a legitimate entity with which the victim might do business in order to prompt the user to reveal some confidential information (very frequently authentication credentials) that can later be used by an attacker. Phishing is essentially a form of information gathering or fishing for information.,High,An attacker needs to have a way to initiate contact with the victim. Typically that will happen through e-mail.An attacker needs to correctly guess the entity with which the victim does business and impersonate it. Most of the time phishers just use the most popular banks/services and send out their hooks to many potential victims.An attacker needs to have a sufficiently compelling call to action to prompt the user to take action.The replicated website needs to look extremely similar to the original website and the URL used to get to that website needs to look like the real URL of the said business entity.,"SKILL:Basic knowledge about websites: obtaining them, designing and implementing them, etc.:LEVEL:Medium",SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain PrivilegesSCOPE:Confidentiality:TECHNICAL IMPACT:Read DataSCOPE:Integrity:TECHNICAL IMPACT:Modify Data,"Do not follow any links that you receive within your e-mails and certainly do not input any login credentials on the page that they take you too. Instead, call your Bank, PayPal, eBay, etc., and inquire about the problem. A safe practice would also be to type the URL of your bank in the browser directly and only then log in. Also, never reply to any e-mails that ask you to provide sensitive information of any kind."
Privilege Abuse,An adversary is able to exploit features of the target that should be reserved for privileged users or administrators but are exposed to use by lower or non-privileged accounts. Access to sensitive information and functionality must be controlled to ensure that only authorized users are able to access these resources.,High,"The target must have misconfigured their access control mechanisms such that sensitive information, which should only be accessible to more trusted users, remains accessible to less trusted users.The adversary must have access to the target, albeit with an account that is less privileged than would be appropriate for the targeted resources.",SKILL:Adversary can leverage privileged features they already have access to without additional effort or skill. Adversary is only required to have access to an account with improper priveleges.:LEVEL:Low,SCOPE:Integrity:TECHNICAL IMPACT:Modify DataSCOPE:Confidentiality:TECHNICAL IMPACT:Read DataSCOPE:Authorization:TECHNICAL IMPACT:Execute Unauthorized Commands:NOTE:Run Arbitrary CodeSCOPE:Authorization:TECHNICAL IMPACT:Gain PrivilegesSCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism,Configure account privileges such privileged/administrator functionality is not exposed to non-privileged/lower accounts.
Footprinting,An adversary engages in probing and exploration activities to identify constituents and properties of the target.,High,"An application must publicize identifiable information about the system or application through voluntary or involuntary means. Certain identification details of information systems are visible on communication networks (e.g., if an adversary uses a sniffer to inspect the traffic) due to their inherent structure and protocol standards. Any system or network that can be detected can be footprinted. However, some configuration choices may limit the useful information that can be collected during a footprinting attack.","SKILL:The adversary knows how to send HTTP request, run the scan tool.:LEVEL:Low",SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data,"Keep patches up to date by installing weekly or daily if possible.Shut down unnecessary services/ports.Change default passwords by choosing strong passwords.Curtail unexpected input.Encrypt and password-protect sensitive data.Avoid including information that has the potential to identify and compromise your organization's security such as access to business plans, formulas, and proprietary documents."
Exploitation of Trusted Identifiers,"An adversary guesses, obtains, or rides a trusted identifier (e.g. session ID, resource ID, cookie, etc.) to perform authorized actions under the guise of an authenticated user or service.",High,Server software must rely on weak identifier proof and/or verification schemes.Identifiers must have long lifetimes and potential for reusability.Server software must allow concurrent sessions to exist.,"SKILL:To achieve a direct connection with the weak or non-existent server session access control, and pose as an authorized user:LEVEL:Low",SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authentication:TECHNICAL IMPACT:Gain PrivilegesSCOPE:Confidentiality:TECHNICAL IMPACT:Read DataSCOPE:Integrity:TECHNICAL IMPACT:Modify Data,"Design: utilize strong federated identity such as SAML to encrypt and sign identity tokens in transit.Implementation: Use industry standards session key generation mechanisms that utilize high amount of entropy to generate the session key. Many standard web and application servers will perform this task on your behalf.Implementation: If the identifier is used for authentication, such as in the so-called single sign on use cases, then ensure that it is protected at the same level of assurance as authentication tokens.Implementation: If the web or application server supports it, then encrypting and/or signing the identifier (such as cookie) can protect the ID if intercepted.Design: Use strong session identifiers that are protected in transit and at rest.Implementation: Utilize a session timeout for all sessions, for example 20 minutes. If the user does not explicitly logout, the server terminates their session after this period of inactivity. If the user logs back in then a new session key is generated.Implementation: Verify authenticity of all identifiers at runtime."
Functionality Misuse,"An adversary leverages a legitimate capability of an application in such a way as to achieve a negative technical impact. The system functionality is not altered or modified but used in a way that was not intended. This is often accomplished through the overuse of a specific functionality or by leveraging functionality with design flaws that enables the adversary to gain access to unauthorized, sensitive data.",Medium,The adversary has the capability to interact with the application directly.The target system does not adequately implement safeguards to prevent misuse of authorized actions/processes.,"SKILL:General computer knowledge about how applications are launched, how they interact with input/output, and how they are configured.:LEVEL:Low","SCOPE:Confidentiality:TECHNICAL IMPACT:Gain Privileges:NOTE:A successful attack of this kind can compromise the confidentiality of an authorized user's credentials.SCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Other:NOTE:Depending on the adversary's intended technical impact, a successful attack of this kind can compromise any or all elements of the security triad.","Perform comprehensive threat modeling, a process of identifying, evaluating, and mitigating potential threats to the application. This effort can help reveal potentially obscure application functionality that can be manipulated for malicious purposes.When implementing security features, consider how they can be misused and compromised."
Exploiting Trust in Client,"An attack of this type exploits vulnerabilities in client/server communication channel authentication and data integrity. It leverages the implicit trust a server places in the client, or more importantly, that which the server believes is the client. An attacker executes this type of attack by communicating directly with the server where the server believes it is communicating only with a valid client. There are numerous variations of this type of attack.",High,"Server software must rely on client side formatted and validated values, and not reinforce these checks on the server side.",SKILL:The attacker must have fairly detailed knowledge of the syntax and semantics of client/server communications protocols and grammars:LEVEL:Medium,SCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized Commands:NOTE:Run Arbitrary CodeSCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain PrivilegesSCOPE:Confidentiality:TECHNICAL IMPACT:Read Data,Design: Ensure that client process and/or message is authenticated so that anonymous communications and/or messages are not accepted by the system.Design: Do not rely on client validation or encoding for security purposes.Design: Utilize digital signatures to increase authentication assurance.Design: Utilize two factor authentication to increase authentication assurance.Implementation: Perform input validation for all remote content.
Fingerprinting,"An adversary compares output from a target system to known indicators that uniquely identify specific details about the target. Most commonly, fingerprinting is done to determine operating system and application versions. Fingerprinting can be done passively as well as actively. Fingerprinting by itself is not usually detrimental to the target. However, the information gathered through fingerprinting often enables an adversary to discover existing weaknesses in the target.",High,A means by which to interact with the target system directly.,"SKILL:Some fingerprinting activity requires very specific knowledge of how different operating systems respond to various TCP/IP requests. Application fingerprinting can be as easy as envoking the application with the correct command line argument, or mouse clicking in the appropriate place on the screen.:LEVEL:Medium",SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data,"While some information is shared by systems automatically based on standards and protocols, remove potentially sensitive information that is not necessary for the application's functionality as much as possible."
Forced Deadlock,"The adversary triggers and exploits a deadlock condition in the target software to cause a denial of service. A deadlock can occur when two or more competing actions are waiting for each other to finish, and thus neither ever does. Deadlock conditions can be difficult to detect.",Low,"The target host has a deadlock condition. There are four conditions for a deadlock to occur, known as the Coffman conditions. [REF-101]The target host exposes an API to the user.",SKILL:This type of attack may be sophisticated and require knowledge about the system's resources and APIs.:LEVEL:Medium,SCOPE:Availability:TECHNICAL IMPACT:Resource Consumption:NOTE:A successful forced deadlock attack compromises the availability of the system by exhausting its available resources.,"Use known algorithm to avoid deadlock condition (for instance non-blocking synchronization algorithms).For competing actions, use well-known libraries which implement synchronization."
Leveraging Race Conditions,"The adversary targets a race condition occurring when multiple processes access and manipulate the same resource concurrently, and the outcome of the execution depends on the particular order in which the access takes place. The adversary can leverage a race condition by running the race, modifying the resource and modifying the normal execution flow. For instance, a race condition can occur while accessing a file: the adversary can trick the system by replacing the original file with their version and cause the system to read the malicious file.",High,A resource is accessed/modified concurrently by multiple processes such that a race condition exists.The adversary has the ability to modify the resource.,SKILL:Being able to run the race requires basic knowledge of concurrent processing including synchonization techniques.:LEVEL:Medium,SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain PrivilegesSCOPE:Integrity:TECHNICAL IMPACT:Modify Data,"Use safe libraries to access resources such as files.Be aware that improper use of access function calls such as chown(), tempfile(), chmod(), etc. can cause a race condition.Use synchronization to control the flow of execution.Use static analysis tools to find race conditions.Pay attention to concurrency problems related to the access of resources."
Contaminate Resource,"An adversary contaminates organizational information systems (including devices and networks) by causing them to handle information of a classification/sensitivity for which they have not been authorized. When this happens, the contaminated information system, device, or network must be brought offline to investigate and mitigate the data spill, which denies availability of the system until the investigation is complete.",Low,The adversary needs to have real or fake classified/sensitive information to place on a system,SKILL:Knowledge of classification levels of systems:LEVEL:LowSKILL:The ability to obtain a classified document or information:LEVEL:HighSKILL:The ability to fake a classified document:LEVEL:Low,SCOPE:Availability:TECHNICAL IMPACT:Resource Consumption:NOTE:Denial of ServiceSCOPE:Confidentiality:TECHNICAL IMPACT:Read Data:NOTE:Victims of the attack can be exposed to classified materials,"Properly safeguard classified/sensitive data. This includes training cleared individuals to ensure they are handling and disposing of this data properly, as well as ensuring systems only handle information of the classification level they are designed for.Design systems with redundancy in mind. This could mean creating backing servers that could be switched over to in the event that a server has to be taken down for investigation.Have a planned and efficient response plan to limit the amount of time a system is offline while the contamination is investigated."
Use of Known Domain Credentials,An adversary guesses or obtains (i.e. steals or purchases) legitimate credentials (e.g. userID/password) to achieve authentication and to perform authorized actions under the guise of an authenticated user or service.,High,"The system/application uses one factor password based authentication, SSO, and/or cloud-based authentication.The system/application does not have a sound password policy that is being enforced.The system/application does not implement an effective password throttling mechanism.The adversary possesses a list of known user accounts and corresponding passwords that may exist on the target.","SKILL:Once an adversary obtains a known credential, leveraging it is trivial.:LEVEL:Low",SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authentication:TECHNICAL IMPACT:Gain PrivilegesSCOPE:Confidentiality:SCOPE:Authorization:TECHNICAL IMPACT:Read DataSCOPE:Integrity:TECHNICAL IMPACT:Modify Data,"Leverage multi-factor authentication for all authentication services and prior to granting an entity access to the domain network.Create a strong password policy and ensure that your system enforces this policy.Ensure users are not reusing username/password combinations for multiple systems, applications, or services.Do not reuse local administrator account credentials across systems.Deny remote use of local admin credentials to log into domain systems.Do not allow accounts to be a local administrator on more than one system.Implement an intelligent password throttling mechanism. Care must be taken to assure that these mechanisms do not excessively enable account lockout attacks such as CAPEC-2.Monitor system and domain logs for abnormal credential access."
Hardware Fault Injection,"The adversary uses disruptive signals or events, or alters the physical environment a device operates in, to cause faulty behavior in electronic devices. This can include electromagnetic pulses, laser pulses, clock glitches, ambient temperature extremes, and more. When performed in a controlled manner on devices performing cryptographic operations, this faulty behavior can be exploited to derive secret key information.",Low,Physical access to the systemThe adversary must be cognizant of where fault injection vulnerabilities exist in the system in order to leverage them for exploitation.,"SKILL:Adversaries require non-trivial technical skills to create and implement fault injection attacks. Although this style of attack has become easier (commercial equipment and training classes are available to perform these attacks), they usual require significant setup and experimentation time during which physical access to the device is required.:LEVEL:High","SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities:NOTE:An adversary capable of successfully collecting and analyzing sensitive, fault/side-channel information, has compromised the confidentiality of that application or information system data.SCOPE:Integrity:TECHNICAL IMPACT:Execute Unauthorized Commands:NOTE:If an adversary is able to inject data via a fault or side channel vulnerability towards malicious ends, the integrity of the application or information system will be compromised.",Implement robust physical security countermeasures and monitoring.
Metadata Spoofing,"An adversary alters the metadata of a resource (e.g., file, directory, repository, etc.) to present a malicious resource as legitimate/credible.",Medium,Identification of a resource whose metadata is to be spoofed,SKILL:Ability to spoof a variety of metadata to convince victims the source is trusted:LEVEL:Medium,SCOPE:Integrity:TECHNICAL IMPACT:Modify DataSCOPE:Accountability:TECHNICAL IMPACT:Hide ActivitiesSCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Execute Unauthorized Commands,"Validate metadata of resources such as authors, timestamps, and statistics.Confirm the pedigree of open source packages and ensure the code being downloaded does not originate from another source.Even if the metadata is properly checked and a user believes it to be legitimate, there may still be a chance that they've been duped. Therefore, leverage automated testing techniques to determine where malicious areas of the code may exist."
